game,date,date_display,draw_id,draw_slot,weekday,hour,numbers,bonus,source,source_csv,archive_segment,my_million,jackpot
euromillions,2007-02-09,20070209,2007006,,VE,,36 16 46 30 14,8 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,2 319 882,
euromillions,2007-02-16,20070216,2007007,,VE,,19 39 20 50 8,6 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,1 510 408,
euromillions,2007-02-23,20070223,2007008,,VE,,20 2 22 18 15,5 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,1 427 293,
euromillions,2007-03-02,20070302,2007009,,VE,,3 16 48 34 38,8 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 914 246,
euromillions,2007-03-09,20070309,2007010,,VE,,43 25 3 2 48,9 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,7 441 050,
euromillions,2007-03-16,20070316,2007011,,VE,,45 4 31 49 14,9 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,2 340 753,
euromillions,2007-03-23,20070323,2007012,,VE,,43 17 5 40 13,3 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,1 802 362,
euromillions,2007-03-30,20070330,2007013,,VE,,19 9 46 17 41,1 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,2 676 327,
euromillions,2007-04-06,20070406,2007014,,VE,,41 48 29 23 15,6 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 809 107,
euromillions,2007-04-13,20070413,2007015,,VE,,20 41 38 7 25,3 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 097 320,
euromillions,2007-04-20,20070420,2007016,,VE,,41 26 32 45 23,3 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,7 665 346,
euromillions,2007-04-27,20070427,2007017,,VE,,44 18 7 36 27,1 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,7 286 184,
euromillions,2007-05-04,20070504,2007018,,VE,,17 41 35 6 45,1 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,4 718 083,
euromillions,2007-05-11,20070511,2007019,,VE,,12 26 49 7 29,6 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 976 361,
euromillions,2007-05-18,20070518,2007020,,VE,,49 37 34 26 39,2 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,0 005 632,
euromillions,2007-05-25,20070525,2007021,,VE,,49 26 50 29 25,8 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 218 301,
